sample,condition
sample_150,1
sample_151,1
sample_152,1
sample_153,1
sample_154,1
sample_155,1
sample_156,1
sample_157,1
sample_158,1
sample_159,1
sample_160,1
sample_161,1
sample_162,1
sample_163,1
sample_164,1
sample_165,1
sample_166,1
sample_167,1
sample_168,1
sample_169,1
sample_170,1
sample_171,1
sample_172,1
sample_173,1
sample_174,1
sample_175,1
sample_176,1
sample_177,1
sample_178,1
sample_179,1
sample_180,1
sample_181,1
sample_182,1
sample_183,1
sample_184,1
sample_185,1
sample_186,1
sample_187,1
sample_188,1
sample_189,1
sample_190,1
sample_191,1
sample_192,1
sample_193,1
sample_194,1
sample_195,1
sample_196,1
sample_197,1
sample_198,1
sample_199,1
sample_200,1
sample_201,1
sample_202,1
sample_203,1
sample_204,1
sample_205,1
sample_206,1
sample_207,1
sample_208,1
sample_209,1
sample_210,1
sample_211,1
sample_212,1
sample_213,1
sample_214,1
sample_215,1
sample_216,1
sample_217,1
sample_218,1
sample_219,1
sample_220,1
sample_221,1
sample_222,1
sample_223,1
sample_224,1
sample_225,1
sample_226,1
sample_227,1
sample_228,1
sample_229,1
sample_230,1
sample_231,1
sample_232,1
sample_233,1
sample_234,1
sample_235,1
sample_236,1
sample_237,1
sample_238,1
sample_239,1
sample_240,1
sample_241,1
sample_242,1
sample_243,1
sample_244,1
sample_245,1
sample_246,1
sample_247,1
sample_248,1
sample_249,1
sample_250,1
sample_251,1
sample_252,1
sample_253,1
sample_254,1
sample_255,1
sample_256,1
sample_257,1
sample_258,1
sample_259,1
sample_260,1
sample_261,1
sample_262,1
sample_263,1
sample_264,1
sample_265,1
sample_266,1
sample_267,1
sample_268,1
sample_269,1
sample_270,1
sample_271,1
sample_272,1
sample_273,1
sample_274,1
sample_275,1
sample_276,1
sample_277,1
sample_278,1
sample_279,1
sample_280,1
sample_281,1
sample_282,1
sample_283,1
sample_284,1
sample_285,1
sample_286,1
sample_287,1
sample_288,1
sample_289,1
sample_290,1
sample_291,1
sample_292,1
sample_293,1
sample_294,1
sample_295,1
sample_296,1
sample_297,1
sample_298,1
sample_299,1
sample_0,2
sample_1,2
sample_2,2
sample_3,2
sample_4,2
sample_5,2
sample_6,2
sample_7,2
sample_8,2
sample_9,2
sample_10,2
sample_11,2
sample_12,2
sample_13,2
sample_14,2
sample_15,2
sample_16,2
sample_17,2
sample_18,2
sample_19,2
sample_20,2
sample_21,2
sample_22,2
sample_23,2
sample_24,2
sample_25,2
sample_26,2
sample_27,2
sample_28,2
sample_29,2
sample_30,2
sample_31,2
sample_32,2
sample_33,2
sample_34,2
sample_35,2
sample_36,2
sample_37,2
sample_38,2
sample_39,2
sample_40,2
sample_41,2
sample_42,2
sample_43,2
sample_44,2
sample_45,2
sample_46,2
sample_47,2
sample_48,2
sample_49,2
sample_50,2
sample_51,2
sample_52,2
sample_53,2
sample_54,2
sample_55,2
sample_56,2
sample_57,2
sample_58,2
sample_59,2
sample_60,2
sample_61,2
sample_62,2
sample_63,2
sample_64,2
sample_65,2
sample_66,2
sample_67,2
sample_68,2
sample_69,2
sample_70,2
sample_71,2
sample_72,2
sample_73,2
sample_74,2
sample_75,2
sample_76,2
sample_77,2
sample_78,2
sample_79,2
sample_80,2
sample_81,2
sample_82,2
sample_83,2
sample_84,2
sample_85,2
sample_86,2
sample_87,2
sample_88,2
sample_89,2
sample_90,2
sample_91,2
sample_92,2
sample_93,2
sample_94,2
sample_95,2
sample_96,2
sample_97,2
sample_98,2
sample_99,2
sample_100,2
sample_101,2
sample_102,2
sample_103,2
sample_104,2
sample_105,2
sample_106,2
sample_107,2
sample_108,2
sample_109,2
sample_110,2
sample_111,2
sample_112,2
sample_113,2
sample_114,2
sample_115,2
sample_116,2
sample_117,2
sample_118,2
sample_119,2
sample_120,2
sample_121,2
sample_122,2
sample_123,2
sample_124,2
sample_125,2
sample_126,2
sample_127,2
sample_128,2
sample_129,2
sample_130,2
sample_131,2
sample_132,2
sample_133,2
sample_134,2
sample_135,2
sample_136,2
sample_137,2
sample_138,2
sample_139,2
sample_140,2
sample_141,2
sample_142,2
sample_143,2
sample_144,2
sample_145,2
sample_146,2
sample_147,2
sample_148,2
sample_149,2
